image_name,image_path,shape_h,shape_w,total_pixels,bleached_pixels,unbleached_pixels,overlap_pixels,combined_pixels_provided,combined_pixels_computed,bleached_pct,unbleached_pct,background_pct,mean_R_bleached,mean_G_bleached,mean_B_bleached,mean_R_unbleached,mean_G_unbleached,mean_B_unbleached
C1_PB_PP_T2_19nov24_CGomez_Corr.JPG,images\C1_PB_PP_T2_19nov24_CGomez_Corr.JPG,3221,4296,13837416,0,9367925,0,0,9367925,0.0,67.69995929875925,32.30004070124075,,,,55.792657605606365,140.86356295551042,86.1778417312265
C1_PB_PP_T3_19nov24_CGomez_Corr.JPG,images\C1_PB_PP_T3_19nov24_CGomez_Corr.JPG,3170,4224,13390080,48477,7484490,0,0,7532967,0.36203667192429023,55.89578254946946,43.742180778606254,92.07155970872785,186.64634775254245,128.332136889659,55.14098034735834,137.62645711331032,91.21644440703375
C1_PB_PSA_T1_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSA_T1_19nov24_HBenavides_Corr.JPG,3105,4104,12742920,361727,331216,0,0,692943,2.838650795892935,2.599215878307327,94.56213332579973,129.92035430034252,144.05038606462884,88.63263455589436,118.95452816289068,126.08515892952032,74.693885561084
C1_PB_PSA_T2_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSA_T2_19nov24_HBenavides_Corr.JPG,3151,4123,12991573,0,0,0,0,0,0.0,0.0,100.0,,,,,,
C1_PB_PSA_T3_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSA_T3_19nov24_HBenavides_Corr.JPG,3097,4179,12942363,115687,27606,0,0,143293,0.8938630449478198,0.21329953425043016,98.89283742080175,182.67836489838962,188.25682228772465,143.34010735864877,134.38408317032528,129.56067521553285,85.9764906179816
C1_PB_PSb_T1_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSb_T1_19nov24_HBenavides_Corr.JPG,3217,4216,13562872,111326,2199235,0,0,2310561,0.8208143525943473,16.215112846305708,82.96407280109995,148.06815119558775,194.03112480462784,144.66866679841186,112.38387348327942,147.61114432973284,107.06065700118451
C1_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,3225,4217,13599825,26672,725177,0,0,751849,0.19612017066396076,5.3322524370718005,94.47162739226424,89.14937012597481,128.28483053389323,85.05226454709059,91.20884832254747,117.68119231580704,74.25625330091826
C1_PB_PSb_T3_19nov24_HBenavides_Corr.JPG,images\C1_PB_PSb_T3_19nov24_HBenavides_Corr.JPG,3125,4209,13153125,958739,3050333,0,0,4009072,7.2890586837728675,23.190937514849132,69.520003801378,141.15265677102946,192.22263306280436,107.63182889190907,93.86767018551745,132.19127550991973,67.76502926073972
C20_Gr_PSa_T3_30nov24_CDaza_corr.jpg,images\C20_Gr_PSa_T3_30nov24_CDaza_corr.jpg,2573,3437,8843401,1029396,568965,0,0,1598361,11.64027278645399,6.433780397383314,81.92594681616269,169.23221092757305,179.60831691593904,141.495868451014,90.68625135113759,82.90590282354802,52.70358282143893
C2_BC_EM_T1_29nov24_CGomez_corr.jpg,images\C2_BC_EM_T1_29nov24_CGomez_corr.jpg,2481,3313,8219553,138649,6656561,0,0,6795210,1.6868192224078364,80.9844647269748,17.328716050617352,106.07948128006693,128.64182215522652,77.63489098370705,86.61382732014324,90.8589928042423,43.500904596232196
C2_BC_EM_T2_29nov24_CGomez_corr.jpg,images\C2_BC_EM_T2_29nov24_CGomez_corr.jpg,2553,3357,8570421,6981991,407894,0,0,7389885,81.46613801118988,4.7593227917275005,13.774539197082618,88.5944688270151,94.81199990088787,52.43515037472835,28.248603803929452,32.168622240091786,12.524035656322475
C2_BC_EM_T3_29nov24_CGomez_corr.jpg,images\C2_BC_EM_T3_29nov24_CGomez_corr.jpg,2597,3357,8718129,993710,603991,0,0,1597701,11.39820252717068,6.927988792090597,81.67380868073872,159.65749061597447,176.10717110625836,108.68286723490756,105.6115554701974,110.52812376343356,37.343351142649475
C2_BC_EP_T1_29nov24_CDaza_corr.jpg,images\C2_BC_EP_T1_29nov24_CDaza_corr.jpg,2349,3193,7500357,79103,4813749,0,0,4892852,1.0546564650189318,64.18026501938508,34.76507851559599,98.99901394384537,146.36747026029354,102.3516048696004,71.1374404855758,101.15223623001532,57.635200962908534
C2_BC_EP_T2_29nov24_CDaza_corr.jpg,images\C2_BC_EP_T2_29nov24_CDaza_corr.jpg,2473,3181,7866613,41877,4453896,0,0,4495773,0.5323383773931678,56.61770828182345,42.84995334078339,113.98908708837787,156.866179525754,113.69546529120997,84.80151961339017,103.88421956866527,47.87324535642502
C2_BC_EP_T3_29nov24_CDaza_corr.jpg,images\C2_BC_EP_T3_29nov24_CDaza_corr.jpg,2413,3169,7646797,112598,972981,0,0,1085579,1.4724858002638228,12.724033343633943,85.80348085610224,134.68141530044937,169.07122684239508,105.33613385672925,94.94747687776021,118.47334120604616,56.22620688379321
C2_BC_ESa_T1_29nov24_CDaza_corr.jpg,images\C2_BC_ESa_T1_29nov24_CDaza_corr.jpg,2409,3185,7672665,88115,1843923,0,0,1932038,1.1484275672142599,24.032366850370764,74.81920558241498,66.35177892526812,74.44260341599046,32.403563524939,108.37374011821535,114.39705996400066,48.163853371317565
C2_BC_ESa_T2_29nov24_CDaza_corr.jpg,images\C2_BC_ESa_T2_29nov24_CDaza_corr.jpg,2377,3168,7530336,16075,1046855,0,0,1062930,0.2134698903209631,13.901836518317376,85.88469359136165,89.03794712286158,101.50351477449456,63.48298600311042,113.83523792693353,120.72974385182285,71.97685448319012
C2_BC_ESa_T3_29nov24_CDaza_corr.jpg,images\C2_BC_ESa_T3_29nov24_CDaza_corr.jpg,2381,3213,7650153,4831,497294,0,0,502125,0.0631490638161093,6.500445154495603,93.4364057816883,144.96460360173876,147.38666942661976,107.72842061684952,106.01847398118618,110.80183553390953,67.85886618378666
C2_BC_ESb_T1_29nov24_CGomez_corr.jpg,images\C2_BC_ESb_T1_29nov24_CGomez_corr.jpg,2513,3345,8405985,1234396,4110252,0,0,5344648,14.68472760776994,48.896732506660435,36.41853988556963,127.20367693997713,143.9932201659759,67.78481621781017,80.2439244601061,85.566916821645,21.437713064795055
C2_BC_ESb_T2_29nov24_CGomez_corr.jpg,images\C2_BC_ESb_T2_29nov24_CGomez_corr.jpg,2517,3360,8457120,1982731,1856374,0,0,3839105,23.444517755453393,21.95042756872316,54.605054675823446,133.793202910531,142.0618742532396,61.22266409311197,92.89347512947283,85.78082487688364,26.927909462209662
C2_BC_ESb_T3_29nov24_CGomez_corr.jpg,images\C2_BC_ESb_T3_29nov24_CGomez_corr.jpg,2545,3373,8584285,0,935304,0,0,935304,0.0,10.895537601559129,89.10446239844087,,,,127.54334633445383,131.53877455886,48.445493657677076
C2_BC_PM_T1_29nov24_CDaza_corr.jpg,images\C2_BC_PM_T1_29nov24_CDaza_corr.jpg,2385,3189,7605765,1451713,2793549,0,0,4245262,19.0870083416987,36.72936252960748,44.18362912869382,145.17981722282573,162.37588765823548,45.81090890554813,57.74552871633897,67.10264828001944,2.6837997114065297
C2_BC_PM_T2_29nov24_CDaza_corr.jpg,images\C2_BC_PM_T2_29nov24_CDaza_corr.jpg,2385,3250,7751250,1208136,3028057,0,0,4236193,15.586337687469763,39.06540235445896,45.34825995807128,147.43063694815817,161.15772230940888,33.956734175622614,76.98434375574833,90.53559163516407,2.8753738783649054
